,Row,Col,Sector,Positivity,Block,Grouping
26,3,3,1,0.00396817,B,TFL
27,3,4,1,0.00815812,B,TFL
28,3,5,1,0.0194058,B,TFL
29,3,6,1,0.0123084,B,TFL
30,3,7,1,0.00241873,B,TFL
31,3,8,1,0.000956186,B,TFL
32,3,9,1,0.0230357,B,TFL
33,3,10,1,0.00480961,B,TFL
34,3,11,1,0.0182269,B,TFL
35,3,12,1,0.0131594,B,TFL
36,4,1,1,0.0020645,B,TFL
37,4,2,1,0.0007925810000000001,B,TFL
38,4,3,1,0.0201683,B,TFL
39,4,4,1,0.0449819,B,TFL
40,4,5,1,0.00947727,B,TFL
41,4,6,1,0.00627731,B,TFL
42,4,7,1,0.00127335,B,TFL
43,4,8,1,0.00156665,B,TFL
44,4,9,1,0.0434173,B,TFL
45,4,10,1,0.020683,B,TFL
46,4,11,1,0.040257999999999995,B,TFL
47,4,12,1,0.030394400000000002,B,TFL
48,5,1,1,0.021837799999999997,B,TFL
49,5,2,1,0.0174454,B,TFL
50,5,3,1,0.0715587,B,TFL
51,5,4,1,0.0640548,B,TFL
52,5,5,1,0.0113178,B,TFL
53,5,6,1,0.00789852,B,TFL
54,5,7,1,0.018900999999999998,B,TFL
55,5,8,1,0.034393599999999996,B,TFL
56,5,9,1,0.0309928,B,TFL
57,5,10,1,0.030163299999999997,B,TFL
58,5,11,1,0.0143314,B,TFL
59,5,12,1,0.014394299999999999,B,TFL
60,6,1,1,0.00547099,B,TFL
61,6,2,1,0.00845571,B,TFL
62,6,3,1,0.00272852,B,TFL
63,6,4,1,0.00293306,B,TFL
64,6,5,1,0.023562,B,TFL
65,6,6,1,0.0182551,B,TFL
66,6,7,1,0.0207632,B,TFL
67,6,8,1,0.027342,B,TFL
68,6,9,1,0.014842099999999999,B,TFL
69,6,10,1,0.0123774,B,TFL
70,6,11,1,0.00112845,B,TFL
71,6,12,1,0.0008701269999999999,B,TFL
72,7,1,1,0.052370299999999995,B,TFL
73,7,2,1,0.019135299999999997,B,TFL
74,7,3,1,0.0499549,B,TFL
75,7,4,1,0.0447194,B,TFL
76,7,5,1,0.104681,B,TFL
77,7,6,1,0.110151,B,TFL
78,7,7,1,0.0216864,B,TFL
79,7,8,1,0.027216399999999998,B,TFL
80,7,9,1,0.051374,B,TFL
81,7,10,1,0.032889499999999995,B,TFL
82,7,11,1,0.0231102,B,TFL
83,7,12,1,0.00529211,B,TFL
84,8,1,1,0.00608505,B,TFL
85,8,2,1,0.00557868,B,TFL
86,8,3,1,0.00161552,B,TFL
87,8,4,1,0.0033639000000000004,B,TFL
88,8,5,1,0.0216336,B,TFL
89,8,6,1,0.0124213,B,TFL
90,8,7,1,0.227516,B,TFL
91,8,8,1,0.17418499999999998,B,TFL
92,8,9,1,0.03988869999999999,B,TFL
93,8,10,1,0.0294671,B,TFL
94,8,11,1,0.0436116,B,TFL
95,8,12,1,0.041802,B,TFL
96,9,1,1,0.00251898,B,TFL
97,9,2,1,0.0030196,B,TFL
98,9,3,1,0.00404891,B,TFL
99,9,4,1,0.007722800000000001,B,TFL
100,9,5,1,0.016288900000000002,B,TFL
101,9,6,1,0.0111914,B,TFL
102,9,7,1,0.044449199999999994,B,TFL
103,9,8,1,0.0951279,B,TFL
104,9,9,1,0.043048699999999995,B,TFL
105,9,10,1,0.0584144,B,TFL
106,9,11,1,0.0388885,B,TFL
107,9,12,1,0.0580129,B,TFL
0,1,1,1,0.026811400000000003,C,TFL
1,1,2,1,0.0322722,C,TFL
2,1,3,1,0.00794028,C,TFL
3,1,4,1,0.00276547,C,TFL
4,1,5,1,0.00664568,C,TFL
5,1,6,1,0.00418994,C,TFL
6,1,7,1,0.0419846,C,TFL
7,1,8,1,0.0491287,C,TFL
8,1,9,1,0.012048200000000002,C,TFL
9,1,10,1,0.0386228,C,TFL
10,1,11,1,0.026087,C,TFL
11,1,12,1,0.0137868,C,TFL
12,2,1,1,0.00608643,C,TFL
13,2,2,1,0.00981019,C,TFL
14,2,3,1,0.00249048,C,TFL
15,2,4,1,0.00497284,C,TFL
16,2,5,1,0.059043200000000004,C,TFL
17,2,6,1,0.0546023,C,TFL
18,2,7,1,0.016258,C,TFL
19,2,8,1,0.0550686,C,TFL
20,2,9,1,0.046946499999999995,C,TFL
21,2,10,1,0.0485833,C,TFL
22,2,11,1,0.019507299999999998,C,TFL
23,2,12,1,0.022027599999999998,C,TFL
24,3,1,1,0.020989599999999997,C,TFL
25,3,2,1,0.025277900000000002,C,TFL
26,3,3,1,0.0278291,C,TFL
27,3,4,1,0.0670887,C,TFL
28,3,5,1,0.027063999999999998,C,TFL
29,3,6,1,0.0167447,C,TFL
30,3,7,1,0.0357754,C,TFL
31,3,8,1,0.0378542,C,TFL
32,3,9,1,0.0164551,C,TFL
33,3,10,1,0.030239699999999998,C,TFL
34,3,11,1,0.028572700000000003,C,TFL
35,3,12,1,0.0188073,C,TFL
36,4,1,1,0.051940999999999994,C,TFL
37,4,2,1,0.0543888,C,TFL
38,4,3,1,0.015494200000000001,C,TFL
39,4,4,1,0.010369,C,TFL
40,4,5,1,0.0261545,C,TFL
41,4,6,1,0.023209599999999997,C,TFL
42,4,7,1,0.00240151,C,TFL
43,4,8,1,0.00209539,C,TFL
44,4,9,1,0.0165195,C,TFL
45,4,10,1,0.00509967,C,TFL
46,4,11,1,0.0511526,C,TFL
47,4,12,1,0.0218486,C,TFL
48,5,1,1,0.022215000000000002,C,TFL
49,5,2,1,0.0248797,C,TFL
50,5,3,1,0.0157082,C,TFL
51,5,4,1,0.0159284,C,TFL
52,5,5,1,0.014136600000000001,C,TFL
53,5,6,1,0.00387728,C,TFL
54,5,7,1,0.0794949,C,TFL
55,5,8,1,0.0816796,C,TFL
56,5,9,1,0.09008610000000002,C,TFL
57,5,10,1,0.0793013,C,TFL
58,5,11,1,0.00382794,C,TFL
59,5,12,1,0.00478721,C,TFL
60,6,1,1,0.12571500000000002,C,TFL
61,6,2,1,0.14006,C,TFL
62,6,3,1,0.0709928,C,TFL
63,6,4,1,0.08403010000000001,C,TFL
64,6,5,1,0.012865600000000001,C,TFL
65,6,6,1,0.00840778,C,TFL
66,6,7,1,0.028540899999999998,C,TFL
67,6,8,1,0.017596,C,TFL
68,6,9,1,0.0587182,C,TFL
69,6,10,1,0.057391099999999994,C,TFL
70,6,11,1,0.00976831,C,TFL
71,6,12,1,0.00688527,C,TFL
72,7,1,1,0.0758998,C,TFL
73,7,2,1,0.0910835,C,TFL
74,7,3,1,0.010925,C,TFL
75,7,4,1,0.00975199,C,TFL
76,7,5,1,0.0401908,C,TFL
77,7,6,1,0.045869,C,TFL
78,7,7,1,0.0697627,C,TFL
79,7,8,1,0.0498932,C,TFL
80,7,9,1,0.019525999999999998,C,TFL
81,7,10,1,0.0332955,C,TFL
82,7,11,1,0.010639399999999999,C,TFL
83,7,12,1,0.00273799,C,TFL
